Clip,Deviation,Maneuver,WeatherCondition,ParkingGarage,DrivingMode,ArtificialLight,DynamicObjects,DirectionChange,LightCondition,ParkingManeuver,Seasons,StaticObjects,Location,VID_START_FRAME,VID_START_ELV,VID_START_LAT,VID_START_LNG,VID_START_TSTMP,SCN_START_FRAME,SCN_START_ELV,SCN_START_LAT,SCN_START_LNG,SCN_START_TSTMP,VID_END_FRAME,VID_END_ELV,VID_END_LAT,VID_END_LNG,VID_END_TSTMP,SCN_END_FRAME,SCN_END_ELV,SCN_END_LAT,SCN_END_LNG,SCN_END_TSTMP
W005643_20220728_082108,DEV_1_NO_DEVIATION,MAN_2_S_SHAPE,WEA_2_CLOUDY,GAR_1_GARAGE_CARPORT,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_1_DAY,PIO_2_PARK_OUT,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_19_VDC,43210.0,172.7417449951172,51.53484062389169,13.924672165244324,1.658996469981041e+18,43241.0,172.74607849121094,51.53483942287031,13.924669438805623,1.658996471794859e+18,45806.0,172.60482788085938,51.53507655989874,13.92499986133418,1.658996542251591e+18,45734.0,172.602783203125,51.535077104978534,13.924999326889965,1.6589965400614769e+18
W005643_20221004_081257,DEV_1_NO_DEVIATION,MAN_3_CURVED,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,,144652.0,160.77914389688522,51.532461763082324,13.92349743936576,1.664871178491315e+18,144868.0,160.78109296318144,51.53246176031741,13.923497443040818,1.664871184611417e+18,147999.0,161.2273232266307,51.532537395243196,13.923882460202432,1.664871271401839e+18,147746.0,161.23614335153252,51.53253735063157,13.923882599558377,1.664871264307151e+18
W005643_20221004_082124,DEV_2_SMALLER_0_5,MAN_3_CURVED,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,163006.0,160.80693712458014,51.53246287938245,13.923500604571071,1.664871688702653e+18,163402.0,160.8077345835045,51.53246287911474,13.92350060843266,1.664871699041611e+18,166138.0,161.25310356076807,51.5325339038766,13.923880324270176,1.664871775411581e+18,166066.0,161.25124880857766,51.532533937146596,13.923880354794674,1.6648717729248282e+18
W005643_20221004_082826,DEV_1_NO_DEVIATION,MAN_2_S_SHAPE,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,178125.0,161.16624177899212,51.5322404534545,13.924217863584758,1.6648721080015508e+18,179149.0,161.163907574,51.5322404187,13.9242178578,1.664872136158056e+18,182122.0,161.19173150416464,51.53258047015522,13.923889919809872,1.6648722192616128e+18,181869.0,161.20073502,51.5325803686,13.9238900258,1.6648722117083292e+18
W005643_20221004_083221,DEV_2_SMALLER_0_5,MAN_2_S_SHAPE,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,186586.0,161.1602229150012,51.53224069122889,13.924219950787625,1.664872342911581e+18,187522.0,161.16024976875633,51.53224071569062,13.924219821807693,1.6648723692216338e+18,191265.0,161.18673554249108,51.532581881645605,13.923892197542578,1.664872473612067e+18,191193.0,161.18801795504987,51.532581889008846,13.92389229703744,1.6648724707821432e+18
W005643_20221004_084556,DEV_3_FIXED_0_75,MAN_2_S_SHAPE,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,215889.0,160.37182340864092,51.53282665244156,13.923722160332575,1.664873157021568e+18,216070.0,160.37119441013783,51.53282665638234,13.92372216032205,1.664873162642672e+18,220606.0,161.25514837820083,51.53253168474326,13.923891005567748,1.6648732880415708e+18,220282.0,161.2550395578146,51.53253162411373,13.923891041845788,1.664873278772009e+18
W005643_20221004_085306,DEV_4_FIXED_1_25,MAN_2_S_SHAPE,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_10_VDC,231405.0,160.37538628745824,51.53282634427917,13.92371951983377,1.664873588111597e+18,232315.0,160.37453919,51.5328263068,13.9237194903,1.6648736129938598e+18,237202.0,161.26595450099558,51.532531629050204,13.92389432518785,1.6648737496018929e+18,237057.0,161.26762249693274,51.53253170937976,13.923894352345428,1.664873745481592e+18
W005643_20221004_111324,DEV_1_NO_DEVIATION,MAN_3_CURVED,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_16_VDC,95372.0,140.16265768371522,51.47805142277005,13.857220728323247,1.664882006241747e+18,96020.0,140.15571522898972,51.47805142452837,13.85722070562549,1.664882024191793e+18,99872.0,140.25608936790377,51.47776218525616,13.856930493069662,1.664882131411669e+18,99728.0,140.25003859493881,51.477762369849785,13.856930741325982,1.6648821275116652e+18
W005643_20221004_111822,DEV_2_SMALLER_0_5,MAN_3_CURVED,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_16_VDC,106100.0,140.12563827540725,51.47804912088192,13.857217380601204,1.664882304381661e+18,107036.0,140.12867794651538,51.47804913683448,13.857217416670453,1.6648823308954798e+18,110204.0,140.2065342767164,51.47776342007247,13.856929060223958,1.664882418146206e+18,109988.0,140.23155504930764,51.47776345458876,13.856929057330312,1.664882412141715e+18
W005643_20221004_115337,DEV_3_FIXED_0_75,MAN_1_STRAIGHT,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_16_VDC,182204.0,139.78232778981328,51.47754480812412,13.857374835582764,1.664884418385242e+18,182455.0,139.78426996525377,51.477544777049246,13.857374809519605,1.6648844259167212e+18,186164.0,140.25565107166767,51.4777547317741,13.856919024317056,1.664884528526787e+18,186019.0,140.25584039930254,51.477754684172346,13.856918952598724,1.664884524476759e+18
W005643_20221004_120204,DEV_4_FIXED_1_25,MAN_1_STRAIGHT,WEA_2_CLOUDY,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_1_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_16_VDC,200455.0,139.73355837818235,51.477548013887606,13.857373707400756,1.664884925336779e+18,201067.0,139.74090675637126,51.47754802422559,13.857373743245539,1.664884942008374e+18,204451.0,140.30277160461992,51.47775277248034,13.856920260706904,1.6648850362167311e+18,204344.0,140.30559904593974,51.477752755870256,13.856920318364224,1.664885033747762e+18
W005643_20221005_150618,DEV_1_NO_DEVIATION,MAN_2_S_SHAPE,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,63677.0,141.63301305286586,51.47827490065776,13.854941211483345,1.664982379815744e+18,64037.0,141.63323995564133,51.478274879334435,13.854941254168367,1.664982390045718e+18,67925.0,141.5982573069632,51.47816059556733,13.854477112171656,1.664982498325695e+18,67817.0,141.595991268754,51.47816055983503,13.854477078050483,1.6649824950256701e+18
W005643_20221005_151147,DEV_2_SMALLER_0_5,MAN_2_S_SHAPE,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,75485.0,141.60748629178852,51.47827736727333,13.854942253983989,1.6649827078456799e+18,75988.0,141.60669510439038,51.47827734872601,13.85494227391884,1.664982722265708e+18,79264.0,141.26071884669363,51.47816107841967,13.854473394442014,1.664982813025722e+18,79049.0,141.27956304699183,51.478161076254146,13.8544733522828,1.664982807305686e+18
W005643_20221005_152046,DEV_1_NO_DEVIATION,MAN_2_S_SHAPE,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,94880.0,141.70173528697342,51.47822438860827,13.8548829645789,1.6649832467495698e+18,95742.0,141.6936514833942,51.47822441564196,13.854882954867497,1.664983271179619e+18,101071.0,141.58302423730493,51.47814492317618,13.85445903548738,1.664983419039577e+18,100854.0,141.57767724152654,51.4781450319923,13.854459140657971,1.6649834132695798e+18
W005643_20221005_152755,DEV_2_SMALLER_0_5,MAN_2_S_SHAPE,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,110359.0,141.69397898670286,51.47822215971787,13.854885355709689,1.6649836767695552e+18,111006.0,141.69561303127557,51.47822215875107,13.854885327355145,1.6649836944999631e+18,115219.0,141.5834825001657,51.47814652924011,13.854456003354318,1.664983811539736e+18,115147.0,141.5825297497213,51.478146515112286,13.854456000000813,1.664983809702802e+18
W005643_20221005_153440,DEV_1_NO_DEVIATION,MAN_3_CURVED,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,124946.0,141.57528688479215,51.478255760728615,13.854939733451037,1.664984082334357e+18,125270.0,141.57308110501617,51.47825574557232,13.854939674706532,1.664984090904468e+18,128366.0,141.257552026771,51.478160433041886,13.854474932062516,1.664984176654473e+18,128294.0,141.27138628717512,51.4781604300222,13.854474981028877,1.664984174644385e+18
W005643_20221005_153804,DEV_2_SMALLER_0_5,MAN_3_CURVED,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_1_DAY,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,132254.0,141.64154570829123,51.478257441167926,13.854941875375827,1.664984285334315e+18,132974.0,141.6395489796996,51.47825737705784,13.854941937049299,1.664984305444363e+18,135386.0,141.6240298524499,51.47816227673164,13.854473099502083,1.664984372364361e+18,135314.0,141.62486612144858,51.47816229997755,13.854473140613047,1.664984370084665e+18
W005643_20221005_162038,DEV_1_NO_DEVIATION,MAN_2_S_SHAPE,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_3_TWILIGHT,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,66082.0,141.67736678477377,51.47822390165673,13.854881208698211,1.664986839414447e+18,66729.0,141.67914661206305,51.478223914749556,13.854881275674465,1.6649868569947382e+18,71769.0,141.57080770470202,51.47814554727821,13.85445773942307,1.6649869973444682e+18,71696.0,141.56663312856108,51.47814558376849,13.854457796032579,1.664986994945002e+18
W005643_20221005_162533,DEV_2_SMALLER_0_5,MAN_2_S_SHAPE,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_1_DIRECTION_CHANGE,LC_3_TWILIGHT,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,76701.0,141.64746586512774,51.478223029814934,13.854886797711956,1.664987134324407e+18,77637.0,141.64963284693658,51.47822296537974,13.854886814864184,1.664987160230618e+18,81740.0,141.55507449992,51.47814642576344,13.85445525553635,1.664987273534442e+18,81632.0,141.55909012630582,51.47814642459204,13.854455206862767,1.66498727102485e+18
W005643_20221005_163339,DEV_1_NO_DEVIATION,MAN_2_S_SHAPE,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_3_TWILIGHT,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,94204.0,141.68910922575742,51.47827459731195,13.854940931322309,1.664987620485449e+18,95068.0,141.6876396117732,51.47827455692103,13.854940908992264,1.6649876444753871e+18,98668.0,141.61856108624488,51.4781605906562,13.854476593384994,1.664987744316392e+18,98560.0,141.61126862000674,51.4781604294542,13.854476474149722,1.6649877416253322e+18
W005643_20221005_163732,DEV_2_SMALLER_0_5,MAN_2_S_SHAPE,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_3_TWILIGHT,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,102592.0,141.66331889294088,51.47827685176339,13.854942631269026,1.664987853435361e+18,102880.0,141.65823842119426,51.47827689952681,13.854942672445087,1.664987861107164e+18,106336.0,141.51351589150727,51.47816115700402,13.854474686241158,1.6649879570465208e+18,106192.0,141.5314320847392,51.478161289236354,13.854474696664928,1.6649879527553848e+18
W005643_20221005_164126,DEV_1_NO_DEVIATION,MAN_3_CURVED,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_3_TWILIGHT,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,111016.0,141.64357319753617,51.478255231569925,13.854939620208976,1.6649880874153992e+18,111016.0,141.64357319753617,51.478255231569925,13.854939620208976,1.6649880874153992e+18,114220.0,141.52642493322492,51.478160661713815,13.85447543322533,1.664988175906155e+18,114004.0,141.5394135583192,51.47816077914183,13.854475508393021,1.6649881700864192e+18
W005643_20221005_164434,DEV_2_SMALLER_0_5,MAN_3_CURVED,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_3_TWILIGHT,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_22_VDC,117784.0,141.66558343637735,51.47825687609663,13.8549416806284,1.6649882753661612e+18,118072.0,141.67359272856265,51.478256898258714,13.854941679994603,1.664988283157614e+18,120447.0,141.53868267778307,51.47816204420215,13.854473457957067,1.664988349330112e+18,120375.0,141.53728824760765,51.47816207478287,13.854473524927231,1.664988347098839e+18
W005643_20221005_165144,DEV_1_NO_DEVIATION,MAN_3_CURVED,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_3_TWILIGHT,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_08_VDC,133264.0,139.96122409403324,51.47561182455215,13.86167952112584,1.6649887055382162e+18,133444.0,139.95845168828964,51.47561181551494,13.861679464577351,1.6649887104382428e+18,137259.0,140.0632589412853,51.47547806797473,13.86170648645339,1.664988815908385e+18,137188.0,140.06415691133589,51.475478053065444,13.861706499807612,1.664988813938269e+18
W005643_20221005_165543,DEV_2_SMALLER_0_5,MAN_3_CURVED,WEA_1_CLEAR,GAR_2_OUTSIDE,DRVM_1_00_TO_10_KPH,STL_2_NO_STREET_LIGHTS,DOBJ_2_NO_DOBJ_IN_SCENE,DIR_2_FORWARD,LC_3_TWILIGHT,PIO_1_PARK_IN,SEA_1_GREEN_TREES,SOBJ_1_NO_SOBJ_PRESENT,LOC_08_VDC,141904.0,139.87348229344934,51.4756127544834,13.861676638627419,1.6649889453682499e+18,142084.0,139.8717327248305,51.475612767810006,13.861676578235166,1.6649889499182351e+18,145647.0,140.05655344575644,51.475476443382576,13.861707734518744,1.664989049098944e+18,145540.0,140.05307709425688,51.47547639953892,13.861707709056653,1.6649890465982858e+18
